id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,pos_src,dist_src,mag_src,pm_src,rv_src,spect_src
263971,16789.0,21971.0,,,,,3.60105987,63.28812975,408.5755,2.581,0.459,-26.948,7.33,-0.726,K4III,1.726,107.909,148.611,364.972,-1.18938847e-05,-7.67733383e-06,-2.420911768e-05,0.9427552683,1.10458624,1.25130411e-08,2.2252948e-09,,,Cam,1,263971,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2396373,109628.0,210429.0,,,,,22.20787361,-64.59524086,438.701,29.609,1.374,-3.275,8.14,-0.071,K2 III,1.333,167.87,-85.098,-396.278,2.954653679e-05,5.562513179e-05,4.27893496e-06,5.814007709,-1.127399633,1.435484827e-07,6.66134e-09,,,Tuc,1,2396373,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2297845,105135.0,202782.0,,,,,21.29808566,14.53861074,236.2487,7.004,12.358,-27.107,7.95,1.083,A3,0.252,173.818,-148.605,59.306,-1.788480272e-05,2.58433763e-05,6.74259517e-06,5.575825781,0.2537466258,3.39563502e-08,5.99132746e-08,,,Peg,1,2297845,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1747733,86385.0,160089.0,,,,,17.65165611,-26.93756916,53.4569,-10.309,-75.057,-33.626,7.7,4.06,F8 V,0.573,-4.34,-47.459,-24.217,9.3371597e-07,3.954946768e-05,-1.76209487e-06,4.621192758,-0.4701492738,-4.99794423e-08,-3.638866042e-07,,,Oph,1,1747733,,,,,,T,G_R3,HIP,G_R3,G_R3,T
383947,24189.0,33872.0,1699.0,,,,5.19328807,-37.39528676,373.9893,-7.739,9.583,5.236,6.57,-1.294,M1 III,1.653,62.286,290.519,-227.128,1.68232505e-05,1.15359432e-05,1.055211542e-05,1.359599636,-0.6526708779,-3.75197307e-08,4.6459695e-08,,,Col,1,383947,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1291263,62090.0,110602.0,,,,,12.72557015,-26.30152192,240.157,-22.976,-13.238,,7.5,0.598,K0 III,1.113,-211.422,-40.651,-106.412,1.65573511e-06,2.755945012e-05,-1.381756459e-05,3.331546471,-0.4590481553,-1.113907912e-07,-6.4179635e-08,,,Hya,1,1291263,,,,,,T,G_R3,HIP,G_R3,N,T
114571,7061.0,8955.0,,,,,1.51721051,72.87793401,422.5029,9.494,23.191,13.339,8.05,-0.079,K0,1.284,114.704,48.119,403.777,-4.568049423e-05,1.92470258e-06,2.702151518e-05,0.3972047822,1.271959899,4.60282108e-08,1.124331407e-07,,,Cas,1,114571,,,,,,T,G_R3,HIP,G_R3,G_R3,T
31381,1865.0,,,,,,0.39374514,-14.08748496,166.0488,20.4,-27.736,,9.31,3.209,G0,0.48,160.2,16.573,-40.417,-7.09542322e-06,1.577601594e-05,-2.165648344e-05,0.1030822365,-0.2458729956,9.89019908e-08,-1.344679224e-07,,,Cet,1,31381,,,,,,T,G_R3,HIP,G_R3,N,T
68300,4162.0,5174.0,,,,,0.88590673,-42.80767437,404.8759,19.125,2.731,-13.451,8.63,0.593,K1/2 III/IV,1.194,289.08,68.275,-275.129,-1.490468406e-05,3.505065437e-05,1.328065234e-05,0.2319298393,-0.747134862,9.27206164e-08,1.32402616e-08,,,Phe,1,68300,,,,,,T,G_R3,HIP,G_R3,G_R3,T
1087096,50774.0,89823.0,,,,,10.36823623,1.16116937,722.4875,-19.598,13.501,49.438,9.13,-0.164,K0 III,1.245,-657.424,299.279,14.641,-1.669336887e-05,8.30219742e-05,4.830369408e-05,2.714397894,0.02026622866,-9.50137851e-08,6.5454695e-08,,,Sex,1,1087096,,,,,,T,G_R3,HIP,G_R3,G_R3,T
713764,36199.0,58335.0,,,,,7.45505992,45.6813432,371.9709,-2.79,-37.554,87.851,8.11,0.257,K0,1.302,-96.619,241.248,266.132,-3.668082223e-05,0.000105119237,1.696744979e-05,1.951730121,0.7972898447,-1.35263017e-08,-1.820669296e-07,,,Lyn,1,713764,,,,,,T,G_R3,HIP,G_R3,G_R3,T
967673,45272.0,79248.0,3657.0,,,,9.22701722,21.28320441,146.3547,-14.029,-10.526,-8.856,6.48,0.653,A2V,0.046,-101.988,90.532,53.124,1.08916485e-05,3.6407764e-06,-1.02473538e-05,2.415627457,0.3714619919,-6.80145112e-08,-5.1031488e-08,,,Cnc,1,967673,,,,,,T,G_R3,HIP,G_R3,G_R3,T
408985,25420.0,35312.0,,,,,5.43737104,46.81900784,372.3128,14.904,-26.734,-28.086,8.15,0.295,K0,1.295,37.392,252.017,271.489,-2.433081779e-05,1.931043258e-05,-5.396530592e-05,1.423500408,0.8171458384,7.22566309e-08,-1.296100894e-07,,,Aur,1,408985,,,,,,T,G_R3,HIP,G_R3,G_R3,T
203947,12585.0,16440.0,,,,,2.69744393,68.46963814,694.2624,-3.529,0.946,,7.93,-1.278,B7II,0.639,193.855,165.343,645.819,5.45502846e-06,-1.095914604e-05,1.16893467e-06,0.7061891687,1.195020622,-1.71090748e-08,4.5863374e-09,,,Cas,1,203947,,,,,,T,G_R3,HIP,G_R3,N,T
334612,21466.0,29377.0,,,,,4.60990286,-27.04784863,121.8928,11.916,-18.681,,7.35,1.92,F5 V,0.496,38.642,101.451,-55.429,-8.36764958e-06,-2.18446584e-06,-9.83214166e-06,1.206869745,-0.4720740136,5.77703982e-08,-9.05680437e-08,,,Eri,1,334612,,,,,,T,G_R3,HIP,G_R3,N,T
929171,43566.0,76233.0,,,,,8.87271473,-56.2420971,421.1881,-4.354,7.36,26.401,7.21,-0.912,B6 V,-0.076,-159.891,170.919,-350.173,-1.22927338e-05,2.615529675e-05,-1.409675896e-05,2.322871282,-0.9816097715,-2.11087877e-08,3.56822869e-08,,,Car,1,929171,,,,,,T,G_R3,HIP,G_R3,G_R3,T
2215573,101913.0,196401.0,,,,,20.65185238,-49.07607404,146.5867,35.528,-57.254,,9.05,3.22,F3 V,0.453,61.4367,-73.7968,-110.7583,-2.658994e-07,3.978059562e-05,-2.665334678e-05,5.406642304,-0.856539075,1.722446044e-07,-2.775752247e-07,,,Ind,1,2215573,,,,,,T,G_R3,HIP,G_R3,N,T
1275816,61114.0,109029.0,,,,,12.52521474,33.01501432,93.4289,9.155,-89.57,-3.391,7.45,2.598,F 4 V,0.412,-77.603,-10.738,50.906,-1.844728222e-05,-6.73850441e-06,-3.590869128e-05,3.279093547,0.5762207018,4.43846925e-08,-4.342476137e-07,,,CVn,1,1275816,,,,,,T,G_R3,HIP,G_R3,G_R3,T
743225,37089.0,61227.0,2933.0,,,,7.62136916,-23.77539948,1684.2423,-4.251,5.884,17.444,6.34,-4.792,F0 IB,0.54,-634.773,1404.523,-679.006,1.692858757e-05,4.682079358e-05,3.677081895e-05,1.995269778,-0.4149590014,-2.06094296e-08,2.8526437e-08,,,Pup,1,743225,,,,,,T,G_R3,HIP,G_R3,G_R3,T
38468,2280.0,2523.0,,,,,0.48572438,11.3201505,124.7147,11.471,3.265,,8.09,2.61,F0,0.375,121.3014,15.5081,24.48,-1.26404484e-06,6.83054651e-06,1.93595217e-06,0.1271623452,0.1975738978,5.56129773e-08,1.58291667e-08,,,Psc,1,38468,,,,,,T,G_R3,HIP,G_R3,N,T
1707879,84743.0,156987.0,,,,,17.32329812,28.0259294,186.2891,-6.129,-8.465,-11.0,7.05,0.699,A0,0.035,-28.9811,-161.87,87.5323,-4.33211484e-06,7.21405526e-06,-1.203399323e-05,4.535228837,0.4891447434,-2.97142305e-08,-4.10394781e-08,,,Her,1,1707879,,,,,,T,G_R3,HIP,G_R3,HYG,T
1300755,62701.0,111646.0,,,,,12.84868697,-6.06102403,319.7907,-2.212,-27.861,-8.042,8.64,1.116,K1 III,1.153,-310.186,-70.076,-33.766,1.166991559e-05,6.15250304e-06,-4.208471619e-05,3.363778379,-0.1057848252,-1.07240786e-08,-1.350739395e-07,,,Vir,1,1300755,,,,,,T,G_R3,HIP,G_R3,G_R3,T
